Team,Conference,latitude,longitude,Logos,State,SBs
49ers,NFC,37.713486,-122.386256,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/San_Francisco_49ers_logo.svg/2560px-San_Francisco_49ers_logo.svg.png,CA,5
Bears,NFC,41.862306,-87.616672,https://cdn.freebiesupply.com/images/large/2x/chicago-bears-logo-transparent.png,IL,1
Bengals,AFC,39.095442,-84.516039,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Cincinnati_Bengals_logo.svg/2560px-Cincinnati_Bengals_logo.svg.png,OH,0
Bills,AFC,42.773739,-78.786978,https://1000logos.net/wp-content/uploads/2017/08/Color-Buffalo-Bills-logo.jpg,NY,0
Broncos,AFC,39.743936,-105.020097,https://deluxe.scene7.com/is/image/deluxecorp/six-reasons-denver-broncos-logo-design-works_hero?$deluxe_param$&wid=900,CO,3
Browns,AFC,41.506022,-81.699564,https://1000logos.net/wp-content/uploads/2016/10/Cleveland-Browns-logo.jpg,OH,0
Buccaneers,NFC,27.975967,-82.50335,https://cdn.freebiesupply.com/images/large/2x/tampa-bay-buccaneers-logo-transparent.png,FL,2
Cardinals,NFC,33.5277,-112.262608,https://logos-world.net/wp-content/uploads/2020/05/Arizona-Cardinals-Logo.png,AZ,0
Chargers,AFC,32.783117,-117.119525,https://logos-world.net/wp-content/uploads/2020/06/Los-Angeles-Chargers-Logo.png,CA,0
Chiefs,AFC,39.048914,-94.484039,https://logos-world.net/wp-content/uploads/2020/05/Kansas-City-Chiefs-logo.png,MO,3
Colts,AFC,39.760056,-86.163806,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/974px-Indianapolis_Colts_logo.svg.png,IN,2
Commanders,NFC,38.907697,-76.864517,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Washington_Commanders_logo.svg/2560px-Washington_Commanders_logo.svg.png,MD,3
Cowboys,NFC,32.747778,-97.092778,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQkoqdPzbfIXv3IIsHpLFC4FfOFrkRmO4o-_eXm1rU-8w&s,TX,5
Dolphins,AFC,25.957919,-80.238842,https://1000logos.net/wp-content/uploads/2021/04/Miami-Dolphins-logo.png,FL,2
Eagles,NFC,39.900775,-75.167453,https://mobileimages.lowes.com/productimages/56392be6-548a-43fe-83c4-793d59fefac7/11879960.jpg?size=pdhism,PA,1
Falcons,NFC,33.757614,-84.400972,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSAnY-nCIry6KwyPU4m5CCLg7gVWwgQ647huFDY1n65&s,GA,0
Giants,NFC,40.812194,-74.076983,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/New_York_Giants_logo.svg/2560px-New_York_Giants_logo.svg.png,NY,4
Jaguars,AFC,30.323925,-81.637356,https://logos-world.net/wp-content/uploads/2020/05/Jacksonville-Jaguars-logo.png,FL,0
Jets,AFC,40.812194,-74.076983,https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/New_York_Jets_logo.svg/1200px-New_York_Jets_logo.svg.png,NY,0
Lions,NFC,42.340156,-83.045808,https://logos-world.net/wp-content/uploads/2020/05/Detroit-Lions-logo.png,MI,0
Packers,NFC,44.501306,-88.062167,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/2560px-Green_Bay_Packers_logo.svg.png,WI,4
Panthers,NFC,35.225808,-80.852861,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQu9f7ObcYxO0GonX0cJsbKtGDKqYh-MhWV69Ee6-uc&s,NC,0
Patriots,AFC,42.090925,-71.26435,https://static.clubs.nfl.com/image/private/f_auto/patriots/ftuml6gmogyahtnd2neb,MA,6
Raiders,AFC,36.0909,-115.1833,https://i.etsystatic.com/11685205/r/il/3080bb/1149991997/il_570xN.1149991997_3nf9.jpg,NV,3
Rams,NFC,38.632975,-90.188547,https://i.guim.co.uk/img/media/c15695433fb1871e73851c41ad963f3b7c562767/0_164_2000_1200/master/2000.jpg?width=1200&height=900&quality=85&auto=format&fit=crop&s=7b0b7cbe882fa6e6cb783536ef8875d0,CA,2
Ravens,AFC,39.277969,-76.622767,https://cdn11.bigcommerce.com/s-uqijfs/images/stencil/1280x1280/products/115793/132683/3208508688__36701.1573686174.jpg?c=2,MD,2
Saints,NFC,29.950931,-90.081364,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/New_Orleans_Saints_logo.svg/630px-New_Orleans_Saints_logo.svg.png,LA,1
Seahawks,NFC,47.595153,-122.331625,https://static.www.nfl.com/t_q-best/league/api/clubs/logos/SEA,WA,1
Steelers,AFC,40.446786,-80.015761,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/2048px-Pittsburgh_Steelers_logo.svg.png,PA,6
Texans,AFC,29.684781,-95.410956,https://logos-world.net/wp-content/uploads/2020/05/Houston-Texans-logo.png,TX,0
Titans,AFC,36.166461,-86.771289,https://1000logos.net/wp-content/uploads/2018/07/Tennessee-Titans-Logo-640x400.png,TN,0
Vikings,NFC,44.973881,-93.258094,https://1000logos.net/wp-content/uploads/2017/06/Minnesota-Vikings-Logo-1965.png,MN,0
